customer_id,recency,history,mens,womens,newbie,discount_offered,purchased
C1001,46,354.85,1,1,1,0,1
C1002,58,212.68,0,1,0,0,1
C1003,52,131.01,0,0,0,1,0
C1004,6,459.65,0,0,1,0,1
C1005,47,348.76,1,0,1,0,1
C1006,54,384.08,1,0,1,0,1
C1007,8,191.72,1,1,1,0,1
C1008,56,151.65,1,0,1,1,0
C1009,32,274.49,0,1,0,1,1
C1010,59,490.32,0,1,1,1,1
C1011,36,98.65,1,1,1,0,0
C1012,59,246.98,1,1,1,1,1
C1013,51,316.98,1,0,0,0,1
C1014,58,455.14,0,1,1,0,1
C1015,23,255.93,1,0,1,0,1
C1016,17,322.8,0,1,1,1,1
C1017,2,84.33,1,1,0,1,1
C1018,59,396.5,0,0,1,1,1
C1019,37,420.66,0,1,0,1,1
C1020,9,160.31,0,1,1,1,1
C1021,23,431.69,1,1,1,0,1
C1022,8,390.59,1,1,1,0,1
C1023,13,381.84,0,0,1,0,1
C1024,56,434.87,1,0,1,0,1
C1025,46,378.2,1,1,0,1,1
C1026,33,423.71,1,0,0,0,1
C1027,24,299.62,1,1,1,0,1
C1028,9,215.09,0,1,0,0,1
C1029,53,232.8,1,0,0,1,1
C1030,47,222.7,0,0,0,0,1
C1031,30,386.68,0,0,0,1,1
C1032,20,394.07,1,0,1,0,1
C1033,22,247.96,1,1,0,1,1
C1034,3,37.68,1,1,0,1,1
C1035,57,453.27,0,0,0,0,1
C1036,15,240.58,1,1,1,0,1
C1037,54,469.97,0,0,0,0,1
C1038,58,259.22,0,0,0,0,1
C1039,60,169.48,0,0,0,0,0
C1040,5,171.88,0,0,0,0,1
C1041,46,183.58,1,0,1,1,1
C1042,55,311.42,0,0,0,0,1
C1043,35,94.68,1,0,0,1,1
C1044,34,247.05,1,0,0,1,1
C1045,35,202.56,1,0,1,0,0
C1046,32,447.91,0,1,1,1,1
C1047,49,469.69,0,1,1,0,1
C1048,3,377.4,1,0,1,0,1
C1049,15,144.46,1,1,1,0,1
C1050,60,75.23,1,1,1,1,0
C1051,11,76.77,1,0,1,0,0
C1052,20,377.46,0,0,0,1,1
C1053,45,423.6,1,1,0,0,1
C1054,49,48.89,0,0,1,1,0
C1055,43,467.06,0,1,0,0,1
C1056,14,137.83,1,1,0,0,1
C1057,34,31.28,1,1,0,0,0
C1058,12,60.94,0,0,1,0,0
C1059,43,190.25,0,1,0,0,1
C1060,4,111.0,1,1,0,1,1
C1061,60,184.01,0,1,1,0,1
C1062,22,363.42,0,0,1,0,1
C1063,39,480.56,0,0,1,0,1
C1064,51,302.08,0,0,1,1,0
C1065,2,401.26,0,1,0,1,1
C1066,31,410.08,0,0,0,1,1
C1067,8,180.03,0,1,1,1,1
C1068,25,263.59,0,0,1,0,1
C1069,48,434.65,0,0,1,1,1
C1070,28,400.9,0,1,1,0,1
C1071,60,254.38,0,1,1,0,1
C1072,22,129.91,1,1,0,1,1
C1073,41,244.82,1,0,0,1,0
C1074,22,396.7,0,0,0,1,1
C1075,45,351.54,0,0,0,0,1
C1076,25,395.83,0,1,1,0,1
C1077,57,119.74,1,0,1,1,0
C1078,5,195.84,1,1,0,1,1
C1079,59,336.42,0,0,0,1,1
C1080,35,386.43,0,0,1,0,1
C1081,60,94.08,1,1,1,1,0
C1082,5,496.77,0,1,0,0,1
C1083,17,130.29,1,0,1,1,1
C1084,49,331.84,0,1,0,0,1
C1085,16,87.26,0,1,1,1,0
C1086,57,291.7,0,0,0,0,1
C1087,7,395.38,1,1,0,0,1
C1088,29,40.43,0,0,0,0,1
C1089,59,181.58,1,1,1,1,0
C1090,18,305.14,0,0,1,0,0
C1091,23,290.38,0,1,1,0,1
C1092,30,331.46,0,1,1,0,1
C1093,40,357.62,0,1,1,0,1
C1094,24,451.96,0,1,0,0,1
C1095,33,301.67,0,0,1,0,1
C1096,8,275.14,0,1,1,1,1
C1097,23,435.16,0,0,1,1,1
C1098,50,297.6,0,0,0,0,1
C1099,22,47.15,1,0,0,0,0
C1100,25,207.77,0,0,1,1,1
C1101,56,288.39,0,0,0,1,1
C1102,57,191.81,1,0,0,1,0
C1103,2,241.92,0,0,1,0,0
C1104,14,463.3,1,1,1,0,1
C1105,51,147.47,0,0,1,0,1
C1106,17,256.89,0,0,1,1,1
C1107,20,456.21,0,1,1,1,1
C1108,28,61.85,0,1,0,0,1
C1109,9,414.44,0,0,0,0,1
C1110,54,159.46,0,0,0,1,0
C1111,56,77.95,1,1,0,0,0
C1112,3,101.47,1,1,0,0,1
C1113,10,289.67,1,0,1,0,1
C1114,44,275.27,0,1,0,0,1
C1115,50,130.22,1,1,1,0,1
C1116,35,220.43,0,0,1,0,1
C1117,33,21.27,0,1,0,1,0
C1118,11,359.85,1,0,0,1,1
C1119,32,217.76,0,0,0,1,1
C1120,33,212.66,0,1,0,1,1
C1121,56,259.95,1,0,0,1,0
C1122,11,474.23,0,0,1,1,1
C1123,2,380.91,1,1,0,1,1
C1124,24,320.75,1,1,0,1,1
C1125,5,111.78,0,1,1,0,1
C1126,38,424.15,0,1,1,1,1
C1127,48,445.82,1,1,0,1,1
C1128,26,291.03,1,1,1,1,1
C1129,21,271.76,1,1,1,0,1
C1130,48,28.47,1,0,0,0,0
C1131,29,76.69,0,1,0,1,0
C1132,25,66.78,0,1,1,0,0
